hgnc_symbol,basal_1,basal_2,basal_3,mean_x,standard deviation_x,insulin_1,insulin_2,insulin_3,mean_y,standard deviation_y,log2FC,diff
FAM200A,8.14979,5.7795445,5.908395,6.6125765,1.08824618,8.701565,6.30937,6.45996,7.156965,1.09392602,0.114135417,0.5443885
KIF16B,7.4333451,5.9863028,7.62986835,7.016505417,0.732868074,7.0371675,5.6058645,7.23325975,6.625430583,0.725373141,-0.082738455,-0.391074833
BST2,1.68169,1.36871,1.2334155,1.4279385,0.187738325,1.067974,0.7257195,0.6149925,0.802895333,0.192812762,-0.830650012,-0.625043167
NFIC,180.2770085,121.8469765,140.1760175,147.4333342,24.39970825,174.025824,115.907321,134.136408,141.3565177,24.26983842,-0.060724345,-6.0768165
CDC40,14.7469865,14.662174,12.760218,14.0564595,0.917234906,15.507924,15.4343155,13.49218604,14.81147518,0.933362175,0.075482078,0.755015681
GNMT,1.413939,2.185817,0.974588,1.524781333,0.500655197,2.06241,2.85553,1.674169,2.197369667,0.491639459,0.527175234,0.672588333
SEC31A,273.3971234,312.2709195,362.2841285,315.9840571,36.38282985,283.1076956,322.7874925,372.1845145,326.0265675,36.43751383,0.045137763,10.04251039
ELOF1,40.2995605,40.57257455,37.833375,39.56850335,1.231973203,46.870085,46.746736,43.8950955,45.8373055,1.374272779,0.212169742,6.26880215
NOM1,16.411924,13.1752155,14.1625105,14.58321667,1.354453331,18.085427,14.7458805,15.872389,16.2345655,1.387208605,0.154759798,1.651348833
YIPF5,46.98701,53.2608135,74.797778,58.34853383,11.91003436,51.612783,58.219953,79.354114,63.06228333,11.83163792,0.112081003,4.7137495
TEX14,0.8741425,0.8363425,0.3244205,0.678301833,0.250707278,0.8192945,0.7805225,0.26413,0.621315667,0.253063915,-0.126600959,-0.056986167
UBE2D1,32.111408,24.938294,37.141259,31.396987,5.007386991,28.3217715,21.5140275,33.461189,27.76566267,4.893234088,-0.17732429,-3.631324333
LINC00674,69.45745,51.59505,52.7369,57.9298,8.16459802,54.33305,35.28145,35.9338,41.84943333,8.831266574,-0.469097596,-16.08036667
RNF149,28.7755235,39.532108,32.501666,33.60309917,4.459887427,27.3604825,37.9627355,31.0613115,32.1281765,4.393600867,-0.064755197,-1.474922667
RRAGB,19.1848515,20.146218,22.942645,20.75790483,1.593920446,16.603029,17.6291855,20.1394585,18.123891,1.485515298,-0.195768115,-2.634013833
NCBP2AS2,21.3666,13.7355,16.6507,17.25093333,3.144161981,20.19105,12.683,15.567,16.14701667,3.09246592,-0.095406782,-1.103916667
NUTM2D,4.220548,5.0832165,3.349115,4.2176265,0.707946987,3.7342325,4.650202,2.886278,3.756904167,0.72029738,-0.166887025,-0.460722333
MBD4,19.47814001,18.02006123,17.36073,18.28631042,0.884693078,21.1684185,19.804735,19.26498154,20.07937835,0.80097432,0.134950589,1.79306793
OR7A17,0.1562395,0.227247,0.1233655,0.168950667,0.043351446,0.2122155,0.286752,0.1757529,0.2249068,0.046195251,0.412725238,0.055956133
BRSK1,8.2911375,6.4901055,9.226897,8.002713333,1.135751823,11.01233357,9.4685975,11.8645085,10.78181319,0.991615555,0.430038682,2.779099856
NDUFS6,133.739441,61.030873,122.592469,105.7875943,31.97328911,138.397411,66.0061325,127.8901315,110.7645583,31.93835983,0.066325879,4.976964
PPIAP69,0,0,0,0,0,0.3697455,0.3613295,0.3269175,0.352664167,0.018527014,1024,0.352664167
TMEM89,0.2639975,0.369936,0,0.211311167,0.155552881,0.4805785,0.6103465,0.2142705,0.435065167,0.164868932,1.041862505,0.223754
VPS37A,47.7307426,39.0166246,53.397868,46.7150784,5.914880712,51.770563,43.02781425,57.9070685,50.90181525,6.105412558,0.123828817,4.18673685
NUBPL,11.216215,9.7292215,11.489751,10.81172917,0.773551387,9.9284315,8.539255,10.114753,9.527479833,0.702908323,-0.182430724,-1.284249333
WDR89,6.905502,5.0613285,5.5530715,5.839967333,0.77973324,6.374672,4.601067,5.0706595,5.3487995,0.750306635,-0.126745174,-0.491167833
PACS2,125.0070388,52.893165,67.1941745,81.69812609,31.17559041,118.626199,46.8753265,61.69174371,75.73108974,30.92867444,-0.109417299,-5.967036355
NKAPL,1.09182,2.28047,2.601735,1.991341667,0.649439359,1.69094,2.97595,3.24769,2.638193333,0.678934123,0.405809518,0.646851667
